Category,Screen/State,Specific Item Description,Screenshot,Current component or state,ATAK Native?,Equivalent available?,Target Framework Component or state,Notes / Decisions
,EXAMPLE - Settings Screen,slider for number of something,Link,slider_ui,FALSE,Yes,Use equiv framework component (name),
,EXAMPLE - Settings Screen,text input for something,Link,text_input,FALSE,No,New UI pattern or component (name),
grg_capture_toolbar_action_bar.xml,grid_button,Tap to create or toggle the GRG grid on the map,,ImageButton,FALSE,,,
grg_capture_toolbar_action_bar.xml,section_button,Tap to activate the section drawing tool,,ImageButton,FALSE,,,
grg_capture_toolbar_action_bar.xml,detect_buildings_button,Tap to run AI building detection across all sections,,ImageButton,FALSE,,,
grg_capture_toolbar_action_bar.xml,label_button,Tap to enter label/wand mode for manually placing markers,,ImageButton,FALSE,,,
grg_capture_toolbar_action_bar.xml,grg_menu_button,Tap to open the settings dropdown (File/Grid/Section tabs),,ImageButton,FALSE,,,
grg_capture_toolbar_action_bar.xml,close_button,Tap to close/dismiss the toolbar,,ImageView,FALSE,,,
grid_settings_main.xml,tab_file_button,Tap to switch to the File tab,,Button,FALSE,,,
grid_settings_main.xml,tab_grid_button,Tap to switch to the Grid tab (highlighted yellow),,Button,FALSE,,,
grid_settings_main.xml,tab_label_button,Tap to switch to the Section tab,,Button,FALSE,,,
grid_settings_main.xml,tab_content_container,Non-interactive container — swaps content when tab buttons are tapped,,FrameLayout,FALSE,,,
tab_file.xml,File Information header,Static section header — non-interactive,,TextView,FALSE,,,
tab_file.xml,grg_name_input,Type to set the name of the GRG file,,EditText,FALSE,,,
tab_file.xml,grg_version_input,Type to set the version string of the GRG,,EditText,FALSE,,,
tab_file.xml,save_grg_button,Tap to save the current GRG to local storage,,Button,FALSE,,,
tab_file.xml,export_grg_button,Tap to export the GRG as a file (KMZ/image),,Button,FALSE,,,
tab_file.xml,open_grg_button,Tap to load a previously saved GRG,,Button,FALSE,,,
tab_file.xml,close_grg_button,Tap to close/unload the currently active GRG,,Button,FALSE,,,
tab_grid.xml,Grid Parameters header,Static section header — non-interactive,,TextView,FALSE,,,
tab_grid.xml,rows_minus,Tap to decrement the row count,,Button,FALSE,,,
tab_grid.xml,rows_plus,Tap to increment the row count,,Button,FALSE,,,
tab_grid.xml,rows_value,Displays current row count — non-interactive,,TextView,FALSE,,,
tab_grid.xml,rows_seekbar,Drag to adjust row count (range 1-20),,SeekBar,FALSE,,,
tab_grid.xml,columns_minus,Tap to decrement the column count,,Button,FALSE,,,
tab_grid.xml,columns_plus,Tap to increment the column count,,Button,FALSE,,,
tab_grid.xml,columns_value,Displays current column count — non-interactive,,TextView,FALSE,,,
tab_grid.xml,columns_seekbar,Drag to adjust column count (range 1-20),,SeekBar,FALSE,,,
tab_grid.xml,spacing_minus,Tap to decrement grid spacing,,Button,FALSE,,,
tab_grid.xml,spacing_plus,Tap to increment grid spacing,,Button,FALSE,,,
tab_grid.xml,spacing_value,Displays current spacing (e.g. 100m) — non-interactive,,TextView,FALSE,,,
tab_grid.xml,spacing_seekbar,Drag to adjust grid cell spacing,,SeekBar,FALSE,,,
tab_grid.xml,center_locked_checkbox,Toggle to lock/unlock the grid center point,,CheckBox,FALSE,,,
tab_grid.xml,show_sections_checkbox,Toggle to show/hide section shapes on the map,,CheckBox,FALSE,,,
tab_grid.xml,hide_sections_manual_marker_checkbox,Toggle to auto-hide sections while manually placing markers,,CheckBox,FALSE,,,
tab_grid.xml,Row/Column Labels header,Static section header — non-interactive,,TextView,FALSE,,,
tab_grid.xml,show_abc123_labels_checkbox,Toggle to show/hide A/B/C and 1/2/3 grid labels,,CheckBox,FALSE,,,
tab_grid.xml,show_mgrs_labels_checkbox,Toggle to show/hide MGRS coordinate labels on the grid,,CheckBox,FALSE,,,
tab_grid.xml,Legend header,Static section header — non-interactive,,TextView,FALSE,,,
tab_grid.xml,legend_visible_checkbox,Toggle to show/hide the grid legend,,CheckBox,FALSE,,,
tab_grid.xml,Advanced header,Static section header — non-interactive,,TextView,FALSE,,,
tab_grid.xml,show_advanced_settings_checkbox,Toggle to reveal/hide the Label Defaults advanced section,,CheckBox,FALSE,,,
tab_grid.xml,label_defaults_container,Hidden by default; revealed when Show Advanced Settings is checked,,LinearLayout,FALSE,,,
tab_grid.xml,Label Defaults header,Static section header — non-interactive,,TextView,FALSE,,,
