User Story and Scenario,Task,Components/pattterns used in task,Screenshot,TAK UI Native Equiv?,Escape Hatch?,Notes -,BAH Discussion Points,Story Assessment,5/4/2026 - Notes,Change UI?,"Contribute to TAK UI? (or maybe we start to also think of this as ""this shouldn't be a plugin, this should be core to SOCOM TAK"")",Reviewed with BAH?,Dev Story Link
,,,,,,,,,,,,,
"STORY 2: Draw Sections Within the Grid
As a GRG Creator, I need the option to draw sections within the grid, 
So that I can organize the buildings' markers.

Scenario 1: Activate the section drawing tool
",Tap section button,"ActionBarView
Floating toolbar button",,--,--,"Floating toolbar already covered in another section - Floating toolbar is ActionBarView — TAK UI has no abstraction for this, must use ATAK native API","AtakBroadcast / SET_TOOLBAR + UNSET_TOOLBAR — Escape Hatch
In Scenario 1, when the GRG Creator taps the section button, the ATAK drawing toolbar opens and closes via SET_TOOLBAR / UNSET_TOOLBAR broadcasts through AtakBroadcast — there is no TAK UI abstraction for this today.

- Any feedback or insights we should know before we proceed?
- Is this on your sprint? If yes, when?
- If not on your roadmap — should Rise8 contribute a native version to TAK UI, or do we proceed with an escape hatch?",,,No,,,
,ATAK drawing tools open,"AtakBroadcast / SET_TOOLBAR broadcast
Drawing toolbar",VIEW,No,Yes,Code confirmed: SectionToolStateManager imports com.atakmap.android.ipc.AtakBroadcast — ATAK native,,,,No,,,
,(auto) Drawing color and fill applied,"DrawingPreferences
(mapView)",,No,Yes,"Code confirmed: SectionToolStateManager imports com.atakmap.android.drawing.
DrawingPreferences — runs automatically in background","DrawingPreferences(mapView) — Escape Hatch
In Scenario 1, drawing color and fill are applied automatically when the section tool activates — this runs via DrawingPreferences, an ATAK native class, in the background.

- Any feedback or insights we should know before we proceed?
- Is this on your sprint? If yes, when?",,,No,,,
,,,,,,,,,,,,,
"STORY 2: Draw Sections Within the Grid
As a GRG Creator, I need the option to draw sections within the grid, So that I can organize the buildings' markers.

Scenario 2: Draw a section
",Select desired drawing shape,"ATAK shape drawing toolbar 
(via SET_TOOLBAR)
Shape drawing toolbar buttons",VIEW,No,Yes,"Jonathan notes Rise8 re-used TAK's existing shape drawing toolbar — that toolbar is ATAK native, activated by the SET_TOOLBAR broadcast in Scenario 1. Validate with engineers.",,,,No,,,
,Draw section boundary on map (repeat until done),"Drawing tool interactions
PolygonCreationTool()",VIEW,Yes,No,Confirmed TAK UI native — used inside SectionCreationPane per Josh's findings,,,,No,,,
,Section saved to map,"Shape w/Rise8 customizations - Section label, functions, etc
SectionMarkerManager / ATAK Marker + MapView",VIEW,?,?,SectionMarkerManager uses ATAK Marker for marker associations. Whether the polygon shape itself persists via the same ATAK path or a separate mechanism needs engineer validation,"- !!! UPDATE: 4.30 (Thurs) Thomas comfirmed that we can do this shape persistant drawing with the ATAK , DrawingTools API - 
Question from Abel - does drawing sections warrant a TAK UI native or are these tasks/components that are best fitted for ATAK Core?

SectionMarkerManager / section shape persistence — Unknown
In Scenario 2, after the GRG Creator draws and closes the section boundary, the shape needs to persist on the map. SectionMarkerManager uses ATAK Marker for marker associations, but whether the polygon shape persists via the same ATAK path or a separate mechanism is not confirmed.",,,No,,,
,Section tool closes ATAK drawing tools	,"Shape drawing toolbar close button
AtakBroadcast / UNSET_TOOLBAR broadcast",,No,Yes,Same broadcast pattern as open — SectionToolStateManager handles both,,,,No,,,
,,,,,,,,,,,,,
